# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,seeing_median,transparency_median,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,notes,visit_set_notes
138220,iic,SSP_CO_Autumn_2h_68_v2,2026-01-17 21:59:28.699697,58796,12,1,129,749.9985046386719,130.68355,179.54507,78.97427,,1.2904311,0.9671369,0x9ba4ec074945b01,212.9595080742469,37.68602221562312,110.3513246352856,,
138219,iic,SSP_CO_Autumn_2h_68_v2,2026-01-17 21:45:28.029288,58796,12,1,60,749.9985046386719,204.73465,280.1111,49.441917,,1.1510823,0.9822953,0x9ba4ec074945b01,253.77996901215099,42.856430679071146,154.67932441586353,,
138218,iic,,2026-01-17 21:41:26.872310,58793,0,8,6,0.004800000227987766,,,,,1.2196406,0.93714446,0x9ba4ec074945b01,252.7332516624814,44.54143851143973,153.97905767531623,,
138217,iic,SSP_CO_Autumn_1h_49_v2,2026-01-17 21:29:42.317417,58778,12,1,0,133.89999771118164,,,,,,,0x6740052e83cb20d9,254.9586639404297,43.49467468261719,155.5013427734375,"Guiding could not be recovered, aborting exposure by vmpas@stn",
138216,iic,SSP_CO_Autumn_1h_49_v2,2026-01-17 21:13:10.772541,58778,12,1,52,900.0012359619141,234.65248,312.15723,197.4144,,1.1312822,0.7859571,0x6740052e83cb20d9,253.45729700724283,45.77266520041007,154.58456816496673,Lost guiding towards the end of the exposure by vmpas@stn,
138215,iic,,2026-01-17 21:08:52.849086,58775,0,8,7,0.004800000227987766,,,,,1.1749092,0.7301891,0x6740052e83cb20d9,252.08715156886888,47.62453825577445,153.65502863344938,,
138214,iic,SSP_CO_Autumn_1h_36_v2,2026-01-17 20:54:06.117827,58768,12,1,61,801.9982604980469,162.14465,227.97868,73.24896,,1.2231648,0.8789432,0x1eb64267fb83b301,249.3956047796434,48.92320291457638,151.78946685791016,,
138213,iic,SSP_CO_Autumn_1h_36_v2,2026-01-17 20:39:12.190378,58768,12,1,87,801.9987640380859,211.9097,308.36487,161.74315,,1.078562,0.8211478,0x1eb64267fb83b301,246.50687477805397,52.197336261922665,149.70199125463313,,
138212,iic,,2026-01-17 20:35:06.583164,58765,0,8,5,0.004800000227987766,,,,,1.0231435,0.8225435,0x1eb64267fb83b301,244.76099435906661,54.06869707609478,148.30396873072573,,
138211,iic,SSP_CO_Autumn_1h_48_v2,2026-01-17 20:18:37.473535,58762,12,1,62,900.0017395019531,273.12097,445.41183,281.99652,,1.0730547,0.99241877,0x626d0145224e452d,244.16004604763455,56.45056645832364,148.00157262408544,,
138210,iic,SSP_CO_Autumn_1h_48_v2,2026-01-17 20:02:05.943043,58762,12,1,62,900.0009918212891,312.22308,483.4553,244.1545,,1.0493747,0.9994822,0x626d0145224e452d,239.79275609576513,59.89342274741521,144.52395181807262,,
138209,iic,,2026-01-17 19:57:33.851759,58759,0,8,7,0.004800000227987766,,,,,1.1533478,0.8521851,0x626d0145224e452d,236.7738906196926,61.82145060663638,141.93654400369397,,
138208,iic,SSP_CO_Autumn_1h_35_v2,2026-01-17 19:47:36.285496,58756,12,1,55,515.9992523193359,47.986835,69.66952,25.69778,,1.4086747,0.8402008,0x139aaadeefd93ef1,233.08683572496687,62.34520534106663,138.8419791630336,,
138207,iic,SSP_CO_Autumn_1h_35_v2,2026-01-17 19:37:32.000284,58756,12,1,60,515.999755859375,197.6595,271.3004,125.33546,,1.0386616,0.85581344,0x139aaadeefd93ef1,229.42803079573835,64.1251630939421,135.67006433205526,,
138206,iic,,2026-01-17 19:33:16.640893,58753,0,8,8,0.004800000227987766,,,,,0.8736255,0.82407063,0x139aaadeefd93ef1,227.06357421875,65.18800659179688,133.51677978515625,,
138205,iic,SSP_CO_Autumn_1h_45_v2,2026-01-17 19:20:40.551262,58750,12,1,76,674.999755859375,603.33057,654.5749,307.09433,,0.7667697,0.88431287,0x707ba3bb7f447368,229.64224441330154,65.51002774919782,135.9080726326286,,
138204,iic,SSP_CO_Autumn_1h_45_v2,2026-01-17 19:07:55.059024,58750,12,1,76,675.000244140625,573.8714,575.5487,398.48404,,0.74506617,0.8882937,0x707ba3bb7f447368,223.8262334055715,67.68624555909788,130.7519096770844,,
138203,iic,,2026-01-17 19:04:18.125850,58747,0,8,6,0.004800000227987766,,,,,0.7074012,0.8849021,0x707ba3bb7f447368,219.88455418178015,68.88799867175874,127.10648127964565,,
