# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
129006,iic,SSP_GA_outerdisk_l90_b16_faint_P00V05,2025-07-01 04:15:36.544553,50144,12,0,158,899.9989929199219,1338.494,,478.46707,2093.6155,0x1597e4e5b5e3205b,330.6086241905622,40.590937966427965,-119.16497169759371,0.5997909,0.96448416,
129005,iic,SSP_GA_outerdisk_l90_b16_faint_P00V05,2025-07-01 03:59:17.234872,50144,12,0,140,900.0002593994141,1530.923,,506.32007,2427.6501,0x1597e4e5b5e3205b,332.3063608624333,42.53358125516952,-114.39836704349179,0.55612,0.98306745,
129004,iic,,2025-07-01 03:55:07.641943,50141,0,9,8,4.800000190734863,,,,,0x1597e4e5b5e3205b,333.33948810283954,43.550336397611176,-111.52394925631009,0.51738644,0.9887072,
129003,iic,SSP_GA_outerdisk_l90_b16_faint_P00V04,2025-07-01 03:38:45.883791,50138,12,0,141,900.0014953613281,1571.9954,,597.45386,2545.313,0x61a49bd021f2a534,334.6945405023258,44.69893218940223,-108.40490062160964,0.5674147,0.98664916,
129002,iic,SSP_GA_outerdisk_l90_b16_faint_P00V04,2025-07-01 03:22:27.332705,50138,12,0,142,900.0,1726.3129,,490.71985,2879.384,0x61a49bd021f2a534,336.87517004180376,46.27625487478156,-103.40545319674308,0.5207521,1.0067625,
129001,iic,,2025-07-01 03:18:00.089256,50135,0,9,10,4.800000190734863,,,,,0x61a49bd021f2a534,338.25364379882814,47.135807037353516,-100.22175165812175,0.58379877,0.98361033,
129000,iic,SSP_GA_outerdisk_l90_b16_faint_P00V00,2025-07-01 03:09:11.969796,50132,12,0,76,449.9992446899414,887.0295,,255.74258,1189.8752,0x68418f004200d25d,339.42349083595025,47.7779762666989,-97.94065213670918,0.4996058,1.0172122,
128999,iic,SSP_GA_outerdisk_l90_b16_faint_P00V00,2025-07-01 03:00:26.689143,50132,12,0,75,450.00074768066406,912.7822,,241.73782,1257.6766,0x68418f004200d25d,340.85623472100065,48.48493330999715,-95.00959924356827,0.4862333,1.0261854,
128998,iic,,2025-07-01 02:53:24.379600,50129,0,9,9,4.800000190734863,,,,,0x68418f004200d25d,332.0073710850307,49.58108711242676,-89.02120317731585,0.5024579,1.0156993,
128997,iic,SSP_GA_outerdisk_l90_bm28_faint_P00V02,2025-07-01 02:37:01.705728,50126,12,0,174,899.9997406005859,2254.1406,,728.0942,3599.999,0x7d961604feb3b004,68.74240862127704,66.05023438199544,18.784347883951355,0.474915,1.0280637,
128996,iic,SSP_GA_outerdisk_l90_bm28_faint_P00V02,2025-07-01 02:20:42.491625,50126,12,0,174,899.9977416992188,2047.5879,,509.37128,3599.991,0x7d961604feb3b004,70.1685018457451,62.426784012584086,21.91298979947765,0.5067636,1.013962,
128995,iic,,2025-07-01 02:13:22.274433,50123,0,9,10,4.800000190734863,,,,,0x7d961604feb3b004,79.38650004069011,59.667924880981445,21.678223927815754,0.51380724,1.0075917,
128994,iic,SSP_GA_dra_S0P01V11,2025-07-01 01:57:00.645469,50120,12,0,183,899.9979858398438,417.3698,,459.89407,1042.9733,0x34e1f1aa103d2942,330.8530592749489,40.05972264053386,-29.582890996491226,0.5403229,0.9633827,
128993,iic,SSP_GA_dra_S0P01V11,2025-07-01 01:40:44.841365,50120,12,0,183,899.9982452392578,417.81638,,432.90176,1057.0863,0x34e1f1aa103d2942,332.4107992811489,41.89313587115961,-25.088392501955784,0.5308945,0.95968443,
128992,iic,,2025-07-01 01:36:38.092973,50117,0,9,9,4.800000190734863,,,,,0x34e1f1aa103d2942,333.38565499441967,42.889331681387766,-22.30105665751866,0.52947795,0.9378405,
128991,iic,SSP_GA_dra_S0P01V10,2025-07-01 01:20:18.487404,50114,12,0,181,900.0,526.7951,,553.6568,1103.7286,0xa18b14e2bb9a441,334.6906095142207,44.03875063010812,-19.200107269707463,0.52799505,0.9627704,
128990,iic,SSP_GA_dra_S0P01V10,2025-07-01 01:04:00.453854,50114,12,0,183,899.9987487792969,525.58716,,488.87207,1187.9353,0xa18b14e2bb9a441,336.7833069013965,45.61502531503786,-14.272373758154929,0.5000333,0.96905977,
128989,iic,,2025-07-01 00:59:47.663273,50111,0,9,11,4.800000190734863,,,,,0xa18b14e2bb9a441,338.0795660018921,46.46028685569763,-11.206157088279724,0.46073756,0.9838773,
128988,iic,SSP_GA_dra_S0P01V09,2025-07-01 00:43:28.423897,50108,12,0,185,899.9992523193359,568.05554,,615.6785,1245.2168,0x13ac438d34d6b3fd,339.78819237886415,47.41216766480808,-7.722912019796449,0.43161282,1.0108132,
128987,iic,SSP_GA_dra_S0P01V09,2025-07-01 00:27:09.947446,50108,12,0,183,899.9977416992188,555.853,,469.40784,1256.4305,0x13ac438d34d6b3fd,342.44229283969474,48.65494720292676,-2.294360279031377,0.44999576,1.001935,
128986,iic,,2025-07-01 00:22:54.800643,50105,0,9,11,4.800000190734863,,,,,0x13ac438d34d6b3fd,344.06268310546875,49.29629302024841,1.0874720364809036,0.4697882,0.9587084,
128985,iic,SSP_GA_dra_S0P01V08,2025-07-01 00:06:34.701573,50102,12,0,182,899.9982604980469,584.10626,,342.6464,1351.8306,0x51b61574996ad2a,346.1398986816406,49.97461784049256,4.892731678975772,0.4678065,1.0156858,
128984,iic,SSP_GA_dra_S0P01V08,2025-06-30 23:50:17.064691,50102,12,0,180,899.9990081787109,571.0891,,272.89798,1284.8495,0x51b61574996ad2a,349.2924358336219,50.793251682186394,10.782657788400835,0.50383574,0.9787679,
128983,iic,,2025-06-30 23:45:23.724557,50099,0,9,13,4.800000190734863,,,,,0x51b61574996ad2a,350.8453420003255,50.728727870517304,13.57112627559238,0.5029737,0.9501642,
128982,iic,SSP_GA_umi_S0P01V11,2025-06-30 23:29:03.955340,50096,12,0,193,899.9992523193359,683.1521,,568.3483,1306.4401,0x205721c8984ab21,341.03730833068374,35.91557084312735,-11.063019616967331,0.51633537,0.97923446,
128981,iic,SSP_GA_umi_S0P01V11,2025-06-30 23:12:47.444514,50096,12,0,190,899.9992523193359,662.3248,,566.33514,1298.2933,0x205721c8984ab21,342.35559995155637,37.12477640467366,-6.517068452409559,0.5552187,0.9836122,
128980,iic,,2025-06-30 23:08:44.215618,50093,0,9,9,4.800000190734863,,,,,0x205721c8984ab21,343.1577137538365,37.77337156023298,-3.7323924813951765,0.56628394,0.96568894,
128979,iic,SSP_GA_umi_S0P01V10,2025-06-30 22:52:25.029390,50090,12,0,191,900.0012512207031,621.8865,,562.9789,1254.148,0x2858e7550076c35e,344.1948464495706,38.508174657199156,-0.6946098410157249,0.5513543,0.9817524,
128978,iic,SSP_GA_umi_S0P01V10,2025-06-30 22:36:06.635953,50090,12,0,192,900.000244140625,563.80695,,528.4585,1176.2722,0x2858e7550076c35e,345.81523556399657,39.502349764340885,4.078804614946439,0.57681006,0.9698159,
128977,iic,,2025-06-30 22:31:47.659335,50087,0,9,12,4.800000190734863,,,,,0x2858e7550076c35e,346.7916448256549,40.025177675135,6.990912788054523,0.57636046,0.9683384,
128976,iic,SSP_GA_umi_S0P01V09,2025-06-30 22:15:26.187209,50084,12,0,193,899.9992523193359,459.59186,,474.2191,1090.2322,0x245c1207f621b809,348.0503167046441,40.605185062694304,10.280715456920692,0.64390016,0.95528394,
128975,iic,SSP_GA_umi_S0P01V09,2025-06-30 21:59:08.325415,50084,12,0,192,899.999755859375,443.74533,,432.7731,1085.7451,0x245c1207f621b809,349.944772854099,41.34046412876674,15.28545067774785,0.65571356,0.9537079,
128974,iic,,2025-06-30 21:54:46.054193,50081,0,9,13,4.800000190734863,,,,,0x245c1207f621b809,351.0642030504015,41.70652696821425,18.310658931732178,0.61380345,0.9466525,
128973,iic,SSP_GA_umi_S0P01V08,2025-06-30 21:38:22.072845,50078,12,0,193,900.0000152587891,413.77643,,437.14914,980.82697,0x2bfd1b3533baf5d5,352.48655578455566,42.08666498346846,21.74831930549878,0.67484176,0.94569945,
128972,iic,SSP_GA_umi_S0P01V08,2025-06-30 21:22:04.689274,50078,12,0,193,900.0009918212891,387.8111,,407.32248,923.37964,0x2bfd1b3533baf5d5,354.58375316688876,42.5210391397008,26.929434374629373,0.65913445,0.95205003,
128971,iic,,2025-06-30 21:15:40.319803,50075,0,9,11,4.800000190734863,,,,,0x2bfd1b3533baf5d5,344.97071769833565,43.0794734954834,24.116734325885773,0.6230333,0.9466675,
128970,iic,EN1_S25A_run0002_preMer_obs0001,2025-06-30 21:04:19.040841,50072,12,0,134,600.0000152587891,778.1122,1184.6431,609.47614,,0x3c9ba7ccff857f9c,11.034171104431152,54.346662060478806,-161.96040247807272,0.66663337,1.0026907,
128969,iic,EN1_S25A_run0002_preMer_obs0001,2025-06-30 20:53:03.709803,50072,12,0,133,599.9994964599609,915.18567,1321.0984,676.64,,0x3c9ba7ccff857f9c,13.66368452350745,53.77654024902801,-157.52720367774535,0.6041019,1.0388296,
128968,iic,,2025-06-30 20:48:56.275093,50069,0,9,11,4.800000190734863,,,,,0x3c9ba7ccff857f9c,15.174888879060745,53.38631808757782,-154.75050354003906,0.5416247,1.0485358,
128967,iic,EN1_S25A_run0002_preMer_obs0001,2025-06-30 20:32:37.706294,50066,12,0,192,899.9982604980469,1283.0624,1812.6547,1068.9556,,0x3c9ba7ccff857f9c,17.574445677422858,52.633283203917664,-150.7420818774731,0.6354764,1.0151626,
128966,iic,EN1_S25A_run0002_preMer_obs0001,2025-06-30 20:16:15.244890,50066,12,0,194,899.9997406005859,1179.5432,1667.0844,892.99506,,0x3c9ba7ccff857f9c,20.852085015461192,51.36068860914529,-144.81551747456922,0.63446003,1.000913,
128965,iic,,2025-06-30 20:08:29.848434,50063,0,9,18,4.800000190734863,,,,,0x3c9ba7ccff857f9c,24.696351673292078,50.64814526101817,-139.56934945479682,0.65118337,0.9912525,
128964,iic,,2025-06-30 19:56:21.514600,50060,0,0,21,5.0,,,,,0x8345e4025f70c94,116.99426074360692,53.01324888717296,-56.9540216312852,0.7754166,0.82416713,"z=3.20, seeing=0.85 /w AG1 & AG4 by koshida@stn"
