# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes
129136,iic,S25A_june_54,2025-07-02 04:37:34.333165,50233,12,0,123,450.0,500.7028,360.2554,278.73425,,0x4e952afa8cdd319e,208.77987911826685,70.61130149933973,116.99503663097799,0.52816856,0.9697726,,
129135,iic,S25A_june_54,2025-07-02 04:28:46.342900,50233,12,0,101,449.99825286865234,644.6577,627.6939,257.30887,,0x4e952afa8cdd319e,201.97648462755927,71.58919622862868,110.67325941565001,0.5575239,0.9297554,,
129134,iic,S25A_june_54,2025-07-02 04:19:58.082760,50233,12,0,102,450.0,680.0179,779.5066,320.166,,0x4e952afa8cdd319e,195.20194352312785,72.25114024092511,104.33747837717941,0.5678774,0.92185366,,
129133,iic,S25A_june_54,2025-07-02 04:11:12.050671,50233,12,0,101,449.9985046386719,680.8844,801.2144,324.69223,,0x4e952afa8cdd319e,188.03151203023975,72.66918178614725,97.60532014593115,0.5722534,0.93349904,,
129132,iic,,2025-07-02 04:06:42.585177,50230,0,9,13,4.800000190734863,,,,,0x4e952afa8cdd319e,183.4860759311252,72.7487661573622,92.95855882432726,0.5088821,0.9572998,,
129131,iic,S25A_june_43,2025-07-02 03:57:53.674911,50227,12,0,98,449.9990005493164,646.20605,730.53906,309.46283,,0x3c9af99b84faddbd,180.7184321214705,70.75555257264733,90.71622726517886,0.5781712,0.9854693,,
129130,iic,S25A_june_43,2025-07-02 03:49:08.988104,50227,12,0,97,449.9980010986328,682.1189,765.2983,320.2578,,0x3c9af99b84faddbd,174.10772579877803,70.6626229310647,84.49872499123597,0.5556082,0.98202896,,
129129,iic,S25A_june_43,2025-07-02 03:40:23.060726,50227,12,0,98,450.000244140625,708.8545,793.816,327.50085,,0x3c9af99b84faddbd,167.59649402599044,70.33344140996788,78.38259891568102,0.52940804,0.97574663,,
129128,iic,S25A_june_43,2025-07-02 03:31:34.838696,50227,12,0,97,449.99849700927734,719.3176,823.07465,313.42538,,0x3c9af99b84faddbd,161.35447951096754,69.77908892509265,72.53543474246294,0.5403288,0.9774084,,
129127,iic,,2025-07-02 03:27:07.432220,50224,0,9,11,4.800000190734863,,,,,0x3c9af99b84faddbd,157.4416103363037,69.48368287086487,68.55306375026703,0.5335341,0.9620956,,
