# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
123541,iic,SSP_GA_umi_S0P01V11,2025-04-03 05:17:53.357743,44875,12,0,93,300.0,237.87177,,36.366394,149.7441,0x205721c8984ab21,341.44943155706886,36.33410330379711,-9.540358844287892,0.6317073,0.9411309,
123540,iic,SSP_GA_umi_S0P01V11,2025-04-03 05:11:41.211212,44875,12,0,73,299.99974822998047,361.9233,,40.319416,269.40768,0x205721c8984ab21,342.01293737709926,36.84789174916793,-7.60385613214402,0.59277505,0.9732994,
123539,iic,SSP_GA_umi_S0P01V11,2025-04-03 05:02:52.811824,44874,12,0,104,450.0,648.3361,,71.10905,497.38657,0x205721c8984ab21,342.65135410853793,37.38427449180966,-5.489557257152739,0.58823913,0.9830913,
123538,iic,SSP_GA_umi_S0P01V11,2025-04-03 04:54:08.151997,44874,12,0,103,449.99849700927734,628.4548,,68.882065,495.35855,0x205721c8984ab21,343.4362198834258,37.98937791096416,-2.982208841088889,0.6189474,0.98152715,
123537,iic,SSP_GA_umi_S0P01V11,2025-04-03 04:45:22.607310,44874,12,0,104,449.99949645996094,581.655,,55.75051,458.62857,0x205721c8984ab21,344.2573293293492,38.564436552056854,-0.4538197407220311,0.6628938,0.97684896,
123536,iic,SSP_GA_umi_S0P01V11,2025-04-03 04:36:38.802694,44874,12,0,105,449.99949645996094,534.25543,,51.745575,464.60788,0x205721c8984ab21,345.115968976702,39.10976597013928,2.1024380828653064,0.67627543,0.9685072,
123535,iic,,2025-04-03 04:33:00.675087,44871,0,9,7,3.466666797796885,,,,,0x205721c8984ab21,345.71206283569336,39.42798121770223,3.9648693998654685,0.64381,0.90197116,
123534,iic,SSP_GA_umi_S0P00V05,2025-04-03 04:24:13.285676,44868,12,0,105,449.99949645996094,559.6156,,79.31467,467.4051,0x1aed056092298950,347.5578157687074,39.717214032937,8.147177965155144,0.6244196,0.95524323,
123533,iic,SSP_GA_umi_S0P00V05,2025-04-03 04:15:27.926256,44868,12,0,104,450.0,579.65985,,81.188995,479.8392,0x1aed056092298950,348.50545000348774,40.146125866117934,10.785151695069812,0.6021108,0.961551,
123532,iic,SSP_GA_umi_S0P00V05,2025-04-03 04:06:42.792270,44868,12,0,104,449.99974822998047,583.5761,,81.47758,484.78036,0x1aed056092298950,349.47922103370774,40.53919818640896,13.435807141390713,0.5835903,0.96476793,
123531,iic,SSP_GA_umi_S0P00V05,2025-04-03 03:58:00.122686,44868,12,0,104,449.99949645996094,552.5553,,76.18483,490.37234,0x1aed056092298950,350.4835133529736,40.89803792415053,16.11508522763777,0.63415974,0.95898014,
123530,iic,,2025-04-03 03:54:20.629693,44865,0,9,9,3.466666797796885,,,,,0x1aed056092298950,351.11301902488424,41.10127300686307,17.926494669031214,0.6856515,0.9338071,
123529,iic,SSP_GA_umi_S0P00V04,2025-04-03 03:45:33.815712,44862,12,0,104,449.9982452392578,439.05457,,49.780323,329.14908,0x77f41009c8fb35d9,351.9522389778029,41.34458353847124,19.951442429239716,0.64910156,0.7914308,
123528,iic,SSP_GA_umi_S0P00V04,2025-04-03 03:36:48.604249,44862,12,0,104,449.99849700927734,352.3523,,38.886215,264.08008,0x77f41009c8fb35d9,353.02041903409093,41.615386470082846,22.691204645987334,0.60080963,0.67052054,
123527,iic,SSP_GA_umi_S0P00V04,2025-04-03 03:28:03.208524,44862,12,0,105,449.99974822998047,520.68445,,61.200195,401.7857,0x77f41009c8fb35d9,354.10805053710936,41.84728871300107,25.445824377877372,0.6604718,0.87692916,
123526,iic,SSP_GA_umi_S0P00V04,2025-04-03 03:19:20.414028,44862,12,0,104,449.99849700927734,588.8481,,65.46086,436.2504,0x77f41009c8fb35d9,355.2059140730132,42.038715326044546,28.197226711437462,0.64632016,0.9231238,
123525,iic,,2025-04-03 03:13:34.901384,44859,0,9,8,3.466666797796885,,,,,0x77f41009c8fb35d9,329.09382130549506,43.11659152691181,15.048948581402119,0.6874151,0.8552058,
123524,iic,EN1_S25A_run0000_posA_obs0001b,2025-04-03 02:55:48.228221,44856,12,0,168,899.9994964599609,425.28973,357.40967,35.29195,,0x66f21a1a703e36fa,10.19309090719025,54.49963763771849,-163.3431328114133,0.6324881,0.6564296,"bad guiding, passing cloud by vmpas@stn"
123523,iic,EN1_S25A_run0000_posA_obs0001b,2025-04-03 02:39:34.422030,44856,12,0,195,899.9977416992188,1355.0297,1104.5068,115.16955,,0x66f21a1a703e36fa,13.884883540715927,53.723122846163236,-157.11577680538863,0.5959396,0.74636984,
123522,iic,,2025-04-03 02:35:58.394843,44853,0,9,8,3.466666797796885,,,,,0x66f21a1a703e36fa,15.926023996793306,53.17785981985239,-153.42212559626654,0.62795013,0.9422291,
123521,iic,EN1_S25A_run0000_posA_obs0000a,2025-04-03 02:19:25.079615,44850,12,0,198,899.9994964599609,2812.318,2415.6914,268.68552,,0x2dbe30ae7a83ba0,18.217698897548658,52.4166108136201,-149.5711275417002,0.61560065,0.9791138,
123520,iic,EN1_S25A_run0000_posA_obs0000a,2025-04-03 02:03:10.116262,44850,12,0,195,899.999755859375,2954.892,2352.0798,254.11143,,0x2dbe30ae7a83ba0,21.441139323894795,51.10454919277093,-143.69373595408905,0.565437,0.9808753,
123519,iic,,2025-04-03 01:54:42.802905,44847,0,9,7,3.466666797796885,,,,,0x2dbe30ae7a83ba0,39.08620651245117,51.52301239013672,-118.80720825195313,0.5661754,0.92149997,
