# visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes
122808,iic,SSP_GA_dra_S0P00V00,2025-03-28 05:20:30.833108,44006,12,0,182,449.99950408935547,355.31323,,64.825554,177.27586,0x3a75e0d96d897735,357.3371761301176,58.78913077891199,22.23768128307974,0.62440246,0.9578134,
122807,iic,SSP_GA_dra_S0P00V00,2025-03-28 05:11:46.694301,44006,12,0,126,449.99950408935547,577.31934,,67.323494,394.4987,0x3a75e0d96d897735,273.79438153663256,51.94460605439686,29.15587136102101,0.6237925,0.98345965,
122806,iic,SSP_GA_dra_S0P00V00,2025-03-28 05:03:00.677601,44005,12,0,125,449.99825286865234,620.5471,,63.964283,440.44742,0x3a75e0d96d897735,1.3976802847130967,51.928159917296156,32.498667464425914,0.5992042,0.99063504,
122805,iic,SSP_GA_dra_S0P00V00,2025-03-28 04:54:15.735944,44005,12,0,126,449.999755859375,661.83704,,64.633514,463.43954,0x3a75e0d96d897735,3.2941158981773797,51.843095148642234,35.8605675434503,0.5700449,0.9897806,
122804,iic,SSP_GA_dra_S0P00V00,2025-03-28 04:45:30.150245,44005,12,0,128,449.999755859375,642.3317,,57.21527,444.88406,0x3a75e0d96d897735,5.163070907816291,51.69076704978943,39.1874910145998,0.56481224,0.9764657,
122803,iic,SSP_GA_dra_S0P00V00,2025-03-28 04:36:45.934477,44005,12,0,127,449.99825286865234,609.7243,,49.69003,433.73883,0x3a75e0d96d897735,7.008422275618011,51.47166792925666,42.49375086765663,0.5712588,0.9712256,
122802,iic,,2025-03-28 04:31:15.008518,44002,0,9,13,3.466666797796885,,,,,0x3a75e0d96d897735,17.663743721114265,51.00348896450467,43.88162122832404,0.62125677,0.9689498,
122801,iic,SSP_GA_umi_S0P00V02,2025-03-28 04:22:04.407402,43999,12,0,108,449.9987487792969,634.66907,,72.45554,441.73395,0x4b47692b9850b464,350.39664844197966,40.87017729522985,15.884277383121875,0.6228297,0.94491726,
122800,iic,SSP_GA_umi_S0P00V02,2025-03-28 04:13:19.210535,43999,12,0,103,449.9990005493164,614.1742,,74.17261,422.60516,0x4b47692b9850b464,351.4503556765043,41.20360277249263,18.649356218484733,0.6013826,0.9462427,
122799,iic,SSP_GA_umi_S0P00V02,2025-03-28 04:04:33.797996,43999,12,0,104,449.9985046386719,625.3798,,73.48525,456.73428,0x4b47692b9850b464,352.50779427623297,41.492477778574866,21.379931047629405,0.6075834,0.9457098,
122798,iic,SSP_GA_umi_S0P00V02,2025-03-28 03:55:50.774279,43999,12,0,104,449.9987487792969,567.3816,,66.106964,395.8309,0x4b47692b9850b464,353.58665887741813,41.743066279093426,24.1281615121024,0.6429829,0.94122916,
122797,iic,,2025-03-28 03:51:34.312838,43996,0,9,16,3.466666797796885,,,,,0x4b47692b9850b464,354.27300727658155,41.88106769468726,25.96855805559856,0.627271,0.92899907,
122796,iic,SSP_GA_umi_S0P00V00,2025-03-28 03:42:46.022806,43993,12,0,105,450.0,605.51086,,70.93402,416.30582,0x7471753b5330faf8,355.21728935060906,42.04198768579565,28.224078445072987,0.6401899,0.9430398,
122795,iic,SSP_GA_umi_S0P00V00,2025-03-28 03:34:00.758888,43993,12,0,103,450.00025177001953,620.6411,,72.28713,427.86917,0x7471753b5330faf8,356.33494122518874,42.194120124196324,31.00128170177697,0.61611736,0.9484342,
122794,iic,SSP_GA_umi_S0P00V00,2025-03-28 03:25:15.716665,43993,12,0,105,449.99725341796875,597.39923,,68.22684,406.9144,0x7471753b5330faf8,357.4674101192239,42.30607373567554,33.797138792643615,0.6312049,0.9437014,
122793,iic,SSP_GA_umi_S0P00V00,2025-03-28 03:16:31.326929,43993,12,0,104,449.9990005493164,483.75113,,48.62084,336.96725,0x7471753b5330faf8,358.6047801519457,42.37685705248214,36.59246354306479,0.7240284,0.9098571,
122792,iic,,2025-03-28 03:11:38.568998,43990,0,9,24,3.466666797796885,,,,,0x7471753b5330faf8,359.35494232177734,42.401932784489226,38.50960670198713,0.7270186,0.89823246,
122791,iic,,2025-03-28 03:08:28.997886,,0,0,0,,,,,,0x7471753b5330faf8,0.21561984717845917,42.40622329711914,40.522403717041016,,,
122790,iic,,2025-03-28 03:06:41.222314,,0,0,0,,,,,,0x7471753b5330faf8,0.4499981701374054,42.40379333496094,41.09474182128906,,,
122789,iic,,2025-03-28 03:05:43.429101,,0,0,0,,,,,,0x7471753b5330faf8,0.5753375291824341,42.40178298950195,30.000080108642578,,,
122788,iic,,2025-03-28 03:04:51.298181,,0,0,0,,,,,,0x7471753b5330faf8,0.6887034177780151,42.399497985839844,42.113929748535156,,,
122787,iic,,2025-03-28 03:03:34.755502,,0,0,0,,,,,,0x7471753b5330faf8,0.8547946810722351,42.39544677734375,42.11427307128906,,,
122786,iic,SSP_GA_umi_S0P00V01,2025-03-28 02:54:37.678017,43977,12,0,106,449.9987487792969,470.64352,,51.46699,367.90826,0x38eb1d894c1f8761,1.438567447830254,42.374741245323506,43.539365240106,0.712611,0.9197466,
122785,iic,SSP_GA_umi_S0P00V01,2025-03-28 02:45:53.626630,43977,12,0,103,449.9990005493164,492.98224,,50.13291,379.24258,0x38eb1d894c1f8761,2.5844469777704995,42.30161363884593,46.35619381626257,0.6563971,0.9331963,
122784,iic,SSP_GA_umi_S0P00V01,2025-03-28 02:37:02.026921,43977,12,0,104,449.9987564086914,505.06198,,52.148727,386.92725,0x38eb1d894c1f8761,3.715604926737564,42.18772734510955,49.14947354285073,0.63883775,0.9414175,
122783,iic,SSP_GA_umi_S0P00V01,2025-03-28 02:28:16.064855,43977,12,0,105,449.9987487792969,533.30206,,47.883827,378.77048,0x38eb1d894c1f8761,4.843013772467302,42.03208841983741,51.95174538128749,0.620082,0.9471354,
122782,iic,,2025-03-28 02:23:57.490298,43974,0,9,11,3.466666797796885,,,,,0x38eb1d894c1f8761,5.559162399985573,41.9108693671949,53.864552006577,0.67627335,0.8878198,
122781,iic,,2025-03-28 02:16:59.551795,43969,0,9,35,3.466666797796885,,,,,0x7471753b5330faf8,6.178344298012649,41.78761523282981,41.20608836431522,0.63172776,0.94645596,
122780,iic,,2025-03-28 02:01:46.635394,43966,0,9,0,3.466666797796885,,,,,0x7471753b5330faf8,27.95906791687012,44.17226333618164,65.64469757080079,,,
122779,iic,S25A_march_28,2025-03-28 01:52:59.054835,43963,12,0,87,449.99974822998047,784.63837,742.1698,51.631546,,0x762db7abfef452d6,205.7627677699498,69.66714102608817,114.19855115618024,0.6629539,0.90875393,
122778,iic,S25A_march_28,2025-03-28 01:44:13.853236,43963,12,0,104,449.9980010986328,780.3982,730.35706,50.033558,,0x762db7abfef452d6,200.0021246773856,70.43996404012044,108.83544282459077,0.68536335,0.88368845,
122777,iic,S25A_march_28,2025-03-28 01:35:28.736314,43963,12,0,104,449.99825286865234,1072.5273,1020.2004,66.056854,,0x762db7abfef452d6,193.60264185855263,71.03724502490468,102.84826536041697,0.6244488,0.92226064,
122776,iic,S25A_march_28,2025-03-28 01:26:41.983992,43963,12,0,104,449.99950408935547,1032.492,1074.6017,67.015366,,0x762db7abfef452d6,186.85215657552084,71.40594137282599,96.51110164097378,0.644014,0.8991147,
122775,iic,,2025-03-28 01:21:58.317073,43960,0,9,11,3.466666797796885,,,,,0x762db7abfef452d6,183.48346710205078,71.4476432800293,92.97195638020834,0.6195658,0.9140349,
122774,iic,S25A_march_24,2025-03-28 01:06:14.241616,43956,12,0,184,449.99825286865234,886.97266,773.52997,54.455082,,0x7fc55ffb75cc285d,202.14835378286,70.15051811836861,110.8339736319877,0.60034883,0.9083325,
122773,iic,S25A_march_24,2025-03-28 00:57:28.405605,43956,12,0,105,449.99925231933594,772.7373,746.4398,56.639404,,0x7fc55ffb75cc285d,193.40658307756698,71.04534418015253,102.66359983171735,0.63420576,0.8791037,
122772,iic,S25A_march_24,2025-03-28 00:48:42.325162,43956,12,0,104,449.99950408935547,821.1917,744.07404,56.209232,,0x7fc55ffb75cc285d,186.66539887927829,71.40655288696288,96.33484802246093,0.63276947,0.88783383,
122771,iic,S25A_march_24,2025-03-28 00:39:55.220552,43956,12,0,105,449.9987487792969,953.1106,861.686,64.70017,,0x7fc55ffb75cc285d,179.74912460833363,71.52237202431918,89.82956829342231,0.63981384,0.9010947,
122770,iic,,2025-03-28 00:35:57.309277,43953,0,9,13,3.466666797796885,,,,,0x7fc55ffb75cc285d,175.43746948242188,71.476341683524,85.45727844238282,0.55608106,0.90881693,
122769,iic,,2025-03-28 00:29:52.703869,43950,0,0,21,5.0,,,,,0x7fc55ffb75cc285d,170.4719969283703,71.28849774737691,81.06214745100155,0.6060703,0.96992147,"seeing=0.6, z=3.32 with AG5 by arai@stn"
