visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,visit_set_notes,issued_at_UTC,date
133927,iic,SSP_CO_Spring_8h_12_v2,2025-11-16 05:25:49.273611-10:00,54407.0,12,0,59,299.99949645996094,454.00885,592.56354,195.58052,,0x4bb62efa2f24657,176.7088701264197,71.07855269488167,86.93605836499638,0.54708207,1.0233078,,,2025-11-16 15:25:49.273611+00:00,20251116
133926,iic,SSP_CO_Spring_8h_12_v2,2025-11-16 05:19:33.487021-10:00,54407.0,12,0,63,300.0012512207031,512.91565,650.47455,200.7762,,0x4bb62efa2f24657,172.05371634415755,70.9377390944113,82.55912708672952,0.5172462,1.0181876,,,2025-11-16 15:19:33.487021+00:00,20251116
133924,iic,SSP_CO_Spring_8h_18_v1,2025-11-16 05:10:05.672639-10:00,54401.0,12,0,62,299.9987487792969,568.44745,652.72015,194.15521,,0x6c1e96d180df1153,164.1687752685547,71.49214501953125,75.15439434814454,0.4607886,1.0157022,,,2025-11-16 15:10:05.672639+00:00,20251116
133923,iic,SSP_CO_Spring_8h_18_v1,2025-11-16 05:03:48.914776-10:00,54401.0,12,0,63,300.0009994506836,579.1339,651.4674,187.47975,,0x6c1e96d180df1153,159.56489599032665,71.0385229756513,70.8457902322604,0.4742951,0.9948929,,,2025-11-16 15:03:48.914776+00:00,20251116
133921,iic,SSP_CO_Spring_8h_13_v1,2025-11-16 04:54:55.631784-10:00,54395.0,12,0,55,260.000244140625,397.36404,469.5884,137.30809,,0x78945aaf67753aa3,155.87120069899,69.45604238424215,67.40843111330325,0.47180352,0.98705465,,,2025-11-16 14:54:55.631784+00:00,20251116
133920,iic,SSP_CO_Spring_8h_13_v1,2025-11-16 04:49:17.564230-10:00,54395.0,12,0,58,260.000244140625,397.6921,468.61996,131.81223,,0x78945aaf67753aa3,152.28497992621527,68.87987896519849,64.07763854458801,0.46312827,0.98107994,,,2025-11-16 14:49:17.564230+00:00,20251116
133918,iic,SSP_CO_Spring_8h_16_v2,2025-11-16 04:40:12.437580-10:00,54389.0,12,0,57,273.9989929199219,477.37277,500.52594,181.85963,,0x1bfba7ff5b294758,145.38614263119905,68.67277168605638,57.70264444765837,0.45418143,1.0350866,,,2025-11-16 14:40:12.437580+00:00,20251116
133917,iic,SSP_CO_Spring_8h_16_v2,2025-11-16 04:34:20.597193-10:00,54389.0,12,0,59,273.99874114990234,526.3723,556.30865,177.31177,,0x1bfba7ff5b294758,142.15992659881334,67.87279613078141,54.75336193437336,0.44157684,1.0384789,,,2025-11-16 14:34:20.597193+00:00,20251116
133915,iic,SSP_CO_Spring_8h_11_v2,2025-11-16 04:24:04.134657-10:00,54383.0,12,0,66,326.0,648.84155,693.9109,216.7043,,0x6ba9f95c15a95def,139.83796508330153,65.91914820850343,52.66185967007974,0.46322823,1.0340102,,,2025-11-16 14:24:04.134657+00:00,20251116
133914,iic,SSP_CO_Spring_8h_11_v2,2025-11-16 04:17:19.853242-10:00,54383.0,12,0,68,326.0,619.0955,658.3888,203.54443,,0x6ba9f95c15a95def,136.7324558452968,64.88097225662565,49.86417684067775,0.49661982,1.0228839,,,2025-11-16 14:17:19.853242+00:00,20251116
133912,iic,SSP_CO_Spring_8h_17_v1,2025-11-16 04:06:57.726181-10:00,54377.0,12,0,69,339.0,564.83405,649.06824,207.02321,,0x450fbc1c5cbbeed,130.7006922660114,63.8727851428574,44.48865646252529,0.5363837,1.0566102,,,2025-11-16 14:06:57.726181+00:00,20251116
133911,iic,SSP_CO_Spring_8h_17_v1,2025-11-16 04:00:02.878633-10:00,54377.0,12,0,70,338.99950408935547,511.90735,602.0135,181.84415,,0x450fbc1c5cbbeed,128.07304458077073,62.618454845239086,42.19952538672914,0.557867,1.0398374,,,2025-11-16 14:00:02.878633+00:00,20251116
133909,iic,SSP_CO_Spring_8h_10_v2,2025-11-16 03:48:56.305246-10:00,54371.0,12,0,77,393.0012512207031,551.747,639.74744,240.95589,,0x554ff2e922ef2fdf,127.58636873306769,60.81789228377804,41.80714386970766,0.55746716,1.0020846,,,2025-11-16 13:48:56.305246+00:00,20251116
133908,iic,SSP_CO_Spring_8h_10_v2,2025-11-16 03:41:09.331536-10:00,54371.0,12,0,78,393.0009994506836,567.4321,613.55835,218.2883,,0x554ff2e922ef2fdf,125.0634690302952,59.35566784318085,39.65044412795146,0.57664376,0.98679703,,,2025-11-16 13:41:09.331536+00:00,20251116
