visit_id,description,sequence_name,issued_at,iic_sequence_id,n_sps_exposures,n_mcs_exposures,n_agc_exposures,avg_exptime,eet_b,eet_r,eet_n,eet_m,pfs_design_id,avg_azimuth,avg_altitude,avg_insrot,seeing_median,transparency_median,notes,issued_at_UTC,date
125917,iic,S25A_may_26,2025-05-23 00:33:57.719520-10:00,46542.0,12,0,130,449.999755859375,411.42786,498.41644,201.35791,,0x190e991dc164aa07,239.2137548220112,57.17491677529053,143.94451465825924,0.6869331,0.80863166,,2025-05-23 10:33:57.719520+00:00,20250523
125916,iic,S25A_may_26,2025-05-23 00:25:12.447584-10:00,46542.0,12,0,96,449.9990005493164,526.1264,584.9257,225.40453,,0x190e991dc164aa07,236.3211451603816,59.185721118633566,141.54997112567608,0.653933,0.8102297,,2025-05-23 10:25:12.447584+00:00,20250523
125915,iic,S25A_may_26,2025-05-23 00:16:27.710264-10:00,46542.0,12,0,97,450.0010070800781,613.7344,667.7169,265.69604,,0x190e991dc164aa07,233.5064731346169,60.8811555078187,139.16584320842918,0.6361077,0.8166508,,2025-05-23 10:16:27.710264+00:00,20250523
125914,iic,S25A_may_26,2025-05-23 00:07:42.511627-10:00,46542.0,12,0,98,449.999755859375,603.1185,690.6426,238.10812,,0x190e991dc164aa07,230.39437889686,62.508800976093,136.48032555213342,0.64677405,0.8359222,,2025-05-23 10:07:42.511627+00:00,20250523
125912,iic,S25A_may_21,2025-05-22 23:50:12.367725-10:00,46536.0,12,0,98,449.9980010986328,423.40875,512.5458,200.09749,,0x6c7ac2c5c47330bd,232.67644385135532,61.32639062284219,138.45394304063586,0.74356365,0.8868707,,2025-05-23 09:50:12.367725+00:00,20250523
125911,iic,S25A_may_21,2025-05-22 23:41:26.829494-10:00,46534.0,12,0,99,449.9995040893554,415.98795,481.5246,191.40692,,0x6c7ac2c5c47330bd,229.45760445642952,62.94179823904327,135.6624492298473,0.7689857,0.88854414,,2025-05-23 09:41:26.829494+00:00,20250523
125910,iic,S25A_may_21,2025-05-22 23:32:41.608446-10:00,46534.0,12,0,89,449.999252319336,456.9106,573.02216,203.75117,,0x6c7ac2c5c47330bd,225.92561510821292,64.45648647287038,132.55002044166267,0.7275154,0.8887826,,2025-05-23 09:32:41.608446+00:00,20250523
125909,iic,S25A_may_21,2025-05-22 23:23:56.089248-10:00,46534.0,12,0,98,449.999252319336,454.86438,590.6746,211.06908,,0x6c7ac2c5c47330bd,221.93176008828323,65.90157736006694,128.97986319077074,0.6934042,0.88837427,,2025-05-23 09:23:56.089248+00:00,20250523
125908,iic,S25A_may_21,2025-05-22 23:15:10.375772-10:00,46534.0,12,0,65,449.9985046386719,179.49292,229.423,97.02967,,0x6c7ac2c5c47330bd,218.325185139974,67.0062457535618,125.7187571562538,0.7092691,0.8938654,AG off for first 100sec by vmpas@stn,2025-05-23 09:15:10.375772+00:00,20250523
126414,iic,S25A_may_39,2025-05-27 04:52:12.116137-10:00,47174.0,12,0,100,450.0,86.9415,19.72803,94.71896,,0x9e49f70b8ffdb77,130.114936562913,64.5850167155859,43.95987027675951,0.618189,0.94317454,,2025-05-27 14:52:12.116137+00:00,20250527
